productname,size,newprice,oldprice,link
Dr. Oetker Kuvertüre Zartbitter 150g,150g,"0,60","1,99",https://www.goflink.com//de-DE/shop/product/dr-oetker-kuverture-zartbitter-150g-11011859/
Dr. Oetker Mandeln Gemahlen 100g,100g,"0,84","2,79",https://www.goflink.com//de-DE/shop/product/dr-oetker-mandeln-gemahlen-100g-11015084/
Dr. Oetker Mandeln gehackt 100g,100g,"0,84","2,79",https://www.goflink.com//de-DE/shop/product/dr-oetker-mandeln-gehackt-100g-11015083/
Dr. Oetker Mohn Back 250g,250g,"0,78","2,59",https://www.goflink.com//de-DE/shop/product/dr-oetker-mohn-back-250g-11015085/
Dr. Oetker Seelenwärmer Schoko 99g,99g,"0,39","1,29",https://www.goflink.com//de-DE/shop/product/dr-oetker-seelenwarmer-schoko-99g-11010139/
Dr. Oetker Seelenwärmer Vanille 75g,75g,"0,39","1,29",https://www.goflink.com//de-DE/shop/product/dr-oetker-seelenwarmer-vanille-75g-11010140/
Dr. Oetker Tortenguss Klar Ungezuckert 3er Pack,Pack,"0,30","0,99",https://www.goflink.com//de-DE/shop/product/dr-oetker-tortenguss-klar-3er-11010156/
Dr. Oetker Tortenguss Rot Ungezuckert 3er Pack,Pack,"0,30","0,99",https://www.goflink.com//de-DE/shop/product/dr-oetker-tortenguss-rot-3er-11010157/
Duschgel Lavera Hydro Feeling 2 in 1 200ml,200ml,"1,02","3,39",https://www.goflink.com//de-DE/shop/product/lavera-duschgel-hydro-feeling-2-in1-200ml-11014060/
EBERHARD FABER Buntstifte 12 Stück. farbsortiert,farbsortiert,"0,99","1,99",https://www.goflink.com//de-DE/shop/product/eberhard-faber-buntstifte-12-stuck-farbsortiert-11014259/
El Meson Rioja Crianza DOCa. 0.75l,"0,75l","6,29","8,99",https://www.goflink.com//de-DE/shop/product/el-meson-crianza-0-75l-11015491/
Erasco Heisse Tasse Hühnersuppe 450ml,450ml,"0,30","0,99",https://www.goflink.com//de-DE/shop/product/erasco-heisse-tasse-huhnersuppe-450ml-11010232/
Erasco Heisse Tasse Tomatencremesuppe 450ml,450ml,"0,30","0,99",https://www.goflink.com//de-DE/shop/product/erasco-heisse-tasse-tomatencremesuppe-450ml-11010250/
Erasco Weiße Bohneneintopf 800g,800g,"2,39","2,99",https://www.goflink.com//de-DE/shop/product/erasco-weisse-bohneneintopf-800g-11010257/
Every Pumpkin Pasta 450g,450g,"5,99","7,99",https://www.goflink.com//de-DE/shop/product/every-pumpkin-pasta-450g-11015068/
Exquisa Fruchtquark Heidelbeere 0.2% 500g,500g,"0,57","1,89",https://www.goflink.com//de-DE/shop/product/exquisa-fruchtquark-heidelbeere-0-2-500g-11016112/
Exquisa Quarkgenuss Stracciatella 0.2% 500g,500g,"0,57","1,89",https://www.goflink.com//de-DE/shop/product/exquisa-fruchtquark-stracciatella-0-2-500g-11016116/
Exquisa Quarkgenuss Vanille 0.2% 500g,500g,"0,57","1,89",https://www.goflink.com//de-DE/shop/product/exquisa-fruchtquark-vanille-0-2-500g-11016115/
FABER-CASTELL Filzstifte 24 Stück. farbsortiert,farbsortiert,"1,74","3,49",https://www.goflink.com//de-DE/shop/product/faber-castell-filzstifte-24-stuck-farbsortiert-11014260/
FABER-CASTELL Radierer Knetgummi ART ERASER,ERASER,"0,64","1,29",https://www.goflink.com//de-DE/shop/product/faber-castell-radierer-knetgummi-art-eraser-11014267/
Farnese Edizione Autoctoni VDT 0.75l,"0,75l","17,84","25,49",https://www.goflink.com//de-DE/shop/product/farnese-edizione-autoctoni-vdt-0-75l-11015496/
Ferrero Küsschen 178g,178g,"1,11","3,69",https://www.goflink.com//de-DE/shop/product/ferrero-kusschen-178g-11015294/
Ferrero Küsschen Osterhase Brownie Style 70g,70g,"0,69","2,29",https://www.goflink.com//de-DE/shop/product/ferrero-kusschen-osterhase-brownie-style-70g-11016237/
Ferrero Rocher 16 Pralinen 200g,200g,"1,89","3,79",https://www.goflink.com//de-DE/shop/product/ferrero-rocher-200g-11010935/
Ferrero Rocher Osterhase 100g,100g,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/ferrero-rocher-osterhase-100g-11016238/
Ferrero Rocher Tafel Zartbitter 90g,90g,"0,57","1,89",https://www.goflink.com//de-DE/shop/product/rocher-tafel-zartbitter-90g-11014644/
Finish Spezial Salz 1.2kg,"1,2kg","1,89",0,https://www.goflink.com//de-DE/shop/product/finish-spezial-salz-1-2kg-11010682/
Five Elephant Decaf Kaffee Ganze Bohne 250g,250g,"5,69","11,39",https://www.goflink.com//de-DE/shop/product/five-elephant-decaf-kaffee-250g-11013778/
Foodspring Whey Protein Schokolade 330g,330g,"4,71","15,69",https://www.goflink.com//de-DE/shop/product/foodspring-whey-protein-schokolade-330g-11015913/
Forest Gum Kaugummi Berries 20g,20g,"0,79","1,59",https://www.goflink.com//de-DE/shop/product/forest-gum-kaugummi-berries-20g-11015267/
Forest Gum Kaugummi Minze 20g,20g,"0,48","1,59",https://www.goflink.com//de-DE/shop/product/forest-gum-kaugummi-minze-20g-11015268/
Frangelico Haselnuss Likör 0.7l,"0,7l","7,84","15,69",https://www.goflink.com//de-DE/shop/product/frangelico-haselnuss-likor-0-7l-11014840/
Freixenet Carta Nevada Dry D.O. Cava 0.75l,"0,75l","1,80","5,99",https://www.goflink.com//de-DE/shop/product/freixenet-carta-nevada-dry-d-o-cava-11-5-0-75l-11010046/
Fresh Fox Bolognese 350ml,350ml,"2,10","6,99",https://www.goflink.com//de-DE/shop/product/fresh-fox-bolognese-350ml-11016286/
Fresh Fox Currywurst Sauce 350ml,350ml,"5,99",0,https://www.goflink.com//de-DE/shop/product/fresh-fox-currywurst-350ml-11016287/
Fresh Fox Orangen-Karotten-Suppe mit Ingwer Vegan 350ml,350ml,"5,99",0,https://www.goflink.com//de-DE/shop/product/fresh-fox-orangen-ingwer-karottensuppe-vegan-350ml-11016288/
Frolic Snack Rodeo mit Rind 105g,105g,"0,30","0,99",https://www.goflink.com//de-DE/shop/product/frolic-unterwegs-mit-rind-180g-11015425/
Funny-frisch Chipsfrisch Peperoni 175g,175g,"0,51","1,69",https://www.goflink.com//de-DE/shop/product/funny-frisch-chipsfrisch-peperoni-175g-11014009/
Garnier Tuchmaske Sakura 1 Stück,Stück,"0,75","2,49",https://www.goflink.com//de-DE/shop/product/garnier-tuchmaske-sakura-1-stuck-11015391/
Geschenkset Axe Alaska Deo & Duschgel 1 Stück,Stück,"5,29",0,https://www.goflink.com//de-DE/shop/product/geschenkset-axe-alaska-deo-and-duschgel-1-stuck-11014742/
Geschenkset Dove mit Kosmetiktasche 1 Stück,Stück,"4,05","13,49",https://www.goflink.com//de-DE/shop/product/geschenkset-dove-mit-kosmetiktasche-1-stuck-11014745/
Geschenkset Nivea Kleine Auszeit 1 Stück,Stück,"4,79",0,https://www.goflink.com//de-DE/shop/product/geschenkset-nivea-kleine-auszeit-1-stuck-11014746/
Glory Mornin' Premium Reis Vodka in Geschenkbox 40% 0.35l,"0,35l","20,99",0,https://www.goflink.com//de-DE/shop/product/glory-mornin-premium-reis-vodka-0-35l-11015179/
Glory Mornin' Premium Reis Vodka in Geschenkbox Watermelon & Dragonfruit 40% 0.35l,"0,35l","6,30","20,99",https://www.goflink.com//de-DE/shop/product/glory-mornin-premium-reis-vodka-watermelon-and-dragonfruit-0-35l-11015134/
Glüh Dich Glücklich Glühwein alkoholfreier Bratapfel 0.75l,"0,75l","1,44","4,79",https://www.goflink.com//de-DE/shop/product/gluh-dich-glucklich-gluhwein-alkoholfreier-bratapfel-0-75l-11015224/
Golden Kaan Cabernet Sauvignon Western Cape 0.75l,"0,75l","1,80","5,99",https://www.goflink.com//de-DE/shop/product/golden-kaan-cabernet-sauv-western-cape-0-75l-11011728/
Guy Saget Rosé d'Anjou Loire AOC. 0.75l,"0,75l","2,10","6,99",https://www.goflink.com//de-DE/shop/product/rose-danjou-guy-saget-aoc-0-75l-11015511/
G´schmackes Italienische Quinoa Bolognese (vegan) 400g,400g,"2,10","6,99",https://www.goflink.com//de-DE/shop/product/g-schmackes-italienische-quinoa-bolognese-400g-11016052/
G´schmackes Vietnamesische Phó 350g,350g,"2,25","7,49",https://www.goflink.com//de-DE/shop/product/g-schmackes-vietnamesische-pho-350g-11016050/
Hachez Wintertafel Bratapfel 90g,90g,"0,72","2,39",https://www.goflink.com//de-DE/shop/product/hachez-wintertafel-bratapfel-90g-11014613/
Hachez Wintertafel Florentiner Orange 90g,90g,"0,72","2,39",https://www.goflink.com//de-DE/shop/product/hachez-wintertafel-florentiner-orange-90g-11014614/
Hachez Wintertafel Walnuss-Krokant 90g,90g,"0,72","2,39",https://www.goflink.com//de-DE/shop/product/hachez-wintertafel-walnuss-krokant-90g-11014615/
